date,open,high,low,close,volume,tic,day,macd,rsi,cci,dx,atr
2025-07-30,60.18,60.66,59.99,60.08,6086980,vnm,2,1.4838529625213184,72.43550801595768,82.10860415372966,73.87905558673843,1.009631191927722
2025-07-31,60.18,60.66,57.69,58.46,10582428,vnm,3,1.329304841255741,56.728673754400994,10.806991180521994,0.9713086512359623,1.1496575353614562
2025-08-01,58.65,58.65,57.31,57.31,5339082,vnm,4,1.1013334660048741,48.66199806441268,-53.25921081316747,8.481631108347031,1.1632534256927805
2025-08-04,57.12,58.08,57.12,57.69,3752196,vnm,0,0.9404859957541376,51.13465234717432,-59.15154797364382,12.318046901305895,1.1487353238575817
2025-08-05,57.79,58.74,57.31,57.41,9574374,vnm,1,0.7814119265177553,49.252261794617326,-52.49643102137692,3.8387651177542663,1.1688256578677543
2025-08-06,57.69,58.94,57.69,58.55,5382357,vnm,2,0.738816437212698,56.304998750197825,-26.0438535106131,8.443748825045018,1.1946238251629149
2025-08-07,59.13,59.22,58.08,58.17,4748027,vnm,3,0.6667109520054666,53.629479933482266,-24.640499048081686,15.017784515518033,1.190722123365564
2025-08-08,58.27,59.03,57.88,58.08,6510574,vnm,4,0.5954407177034327,52.98727120044515,-38.93191709080158,8.591502662793749,1.1878134002680236
2025-08-11,58.27,59.32,58.17,58.74,5795341,vnm,0,0.5854661384901192,57.04918019230567,-21.293559383458415,16.405748894785916,1.1915410145345935
2025-08-12,59.32,59.6,58.65,59.03,5217050,vnm,1,0.5941132215738207,58.73620937629083,-1.0321946424183217,23.67478000111208,1.17428808492498
2025-08-13,59.22,59.32,58.08,58.36,6218119,vnm,2,0.5406701872767385,53.50714043446051,-29.81203252032514,2.6984809150273152,1.1789817931446243
2025-08-14,58.55,59.41,58.27,58.94,6541163,vnm,3,0.5389051867616317,57.07014022343871,1.3680781758958163,5.615009368644699,1.1761973793485794
2025-08-15,59.22,59.41,58.27,58.27,5667842,vnm,4,0.4779336885032137,52.10281893400892,-8.1473773461278,5.615009368644708,1.1736118522522518
2025-08-18,58.36,58.55,57.88,57.98,4783737,vnm,0,0.40158355524088307,50.07134862551591,-58.5489599188224,9.95607707799739,1.1376395770913763
2025-08-19,58.08,58.46,57.69,57.79,5264209,vnm,1,0.32203192883604004,48.730768413710976,-71.17374241883698,16.847449919942328,1.1113796072991353
2025-08-20,57.79,58.17,56.93,57.31,6346136,vnm,2,0.21774467819024323,45.42217243834278,-130.6850514335739,38.552598373436894,1.12056677820634
2025-08-21,57.41,58.17,56.93,57.41,5816129,vnm,3,0.1415339299271139,46.24107921518902,-116.59370439858316,38.552598373436894,1.129097722620173
2025-08-22,57.12,57.22,55.88,56.07,7210343,vnm,4,-0.026682854950585977,38.01079777076047,-221.9685438863516,58.48512779298984,1.1577335995758746
2025-08-25,56.26,56.93,56.07,56.07,3365985,vnm,0,-0.1581725541573249,38.01079777076047,-171.8469274695307,58.48512779298986,1.1364669138918835
2025-08-26,55.98,57.41,55.88,57.02,2994293,vnm,1,-0.18360553724912876,45.924432248029916,-104.63321622676571,32.354725587659985,1.164576420042463
2025-08-27,57.02,58.46,56.83,57.79,4854223,vnm,2,-0.1400147913837344,51.3460607002704,-18.373879641485047,6.539279921685622,1.1978209614680015
2025-08-28,58.27,58.74,57.98,58.27,3666449,vnm,3,-0.06597628916573939,54.41432157397901,38.68971404182772,14.289170269948809,1.1801194642202875
2025-08-29,58.55,58.55,57.6,57.6,4172198,vnm,4,-0.06066434253721553,49.702679174348006,7.441936539090272,1.154340998420467,1.1636823596331236
2025-09-03,57.6,58.74,57.6,58.74,4773459,vnm,2,0.03512894148840928,56.59018212928364,58.933193424275004,7.300644186955546,1.1619907625164718
2025-09-04,58.94,59.7,58.74,59.03,4233882,vnm,3,0.13291423305847871,58.15978116502419,129.68900394968213,31.964355169837077,1.1475628509081526
2025-09-05,59.13,59.22,58.17,58.17,5364137,vnm,4,0.1394079602651388,52.1390528044874,72.31533847472177,11.618758791152453,1.1405940758432844
2025-09-08,58.17,59.13,57.88,57.88,6965675,vnm,0,0.1197730404382682,50.24998965423011,54.12281634244064,2.354869770446915,1.1484087847116211
2025-09-09,57.88,58.27,57.41,57.6,3522635,vnm,1,0.08068843897346767,48.42565883861809,1.0549919129536707,11.396742275899674,1.12780815723222
2025-09-10,57.79,57.88,57.02,57.12,3127098,vnm,2,0.010856475558334466,45.38381767538761,-38.5885318210459,21.495218899706845,1.1086790031442044
2025-09-11,57.12,58.46,56.74,58.46,5005742,vnm,3,0.06291568968539707,54.05952210167274,16.338439095550573,1.6205842015372316,1.1523447886339042
2025-09-12,58.55,60.66,58.27,60.37,13687337,vnm,4,0.2553505077087763,63.065466781248844,172.01970443349748,40.77881225007752,1.2407487323029105
2025-09-15,60.56,60.66,59.99,60.27,3536437,vnm,0,0.3952313422546254,62.37601686839135,180.58918482647275,40.778812250077536,1.199980965709845
2025-09-16,60.66,62.47,60.37,61.8,12690318,vnm,1,0.6223718098645747,68.11879399884718,212.42925607494556,59.35441965436497,1.2714108967305702
2025-09-17,61.9,63.23,61.9,62.18,9878719,vnm,2,0.8235516997599603,69.36931433563824,192.32378968309837,64.7163625593259,1.2827386898212438
2025-09-18,62.18,62.38,60.66,60.75,5070426,vnm,3,0.8577119929855641,59.85469601738016,103.34751627620771,31.947218626602307,1.3139716405482982
2025-09-19,60.94,61.04,59.22,59.22,5310507,vnm,4,0.7526499777864046,51.686256064609594,25.859322817653826,4.176514606261397,1.3501165233662769
2025-09-22,59.32,59.99,58.65,58.65,5294211,vnm,0,0.6162891399205606,49.003178368707815,-16.01543394380775,4.959477878333334,1.3493939145544
2025-09-23,58.74,59.7,58.74,58.84,3431691,vnm,1,0.5175871827331306,49.93610235804322,-19.688856321515235,4.9594778783333435,1.3280086349433717
2025-09-24,59.13,59.22,58.27,59.22,3219465,vnm,2,0.4646715503756482,51.83393956380307,-28.814439683157794,13.305793468034762,1.301008018161702
2025-09-25,59.51,59.6,58.74,58.74,2757739,vnm,3,0.37962743328217385,49.292067671825336,-24.688326766782478,4.726049001482016,1.2695074454358664
2025-09-26,58.74,59.03,58.36,58.36,2494919,vnm,4,0.2783577981430412,47.31393440457318,-51.39959432048689,12.381421807613338,1.2266854850475901
